                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9885,                 3.3696,                 1.6005,                0.00307,                0.28407,                0.05897,                0.02419,                 1.5492,                 3.7722,                 1.3993,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.6241,                 1.9495,                 1.2878,                0.00401,                0.38228,                0.08311,                0.04211,                 1.4935,                 3.4583,                 1.3899,             0.00060807,             0.00060807,             0.00060807
                      3,                 1.5672,                 1.6718,                 1.2993,                 0.7536,                0.07471,                 0.2798,                0.14668,                 1.3995,                 3.0574,                 1.3439,             0.00090711,             0.00090711,             0.00090711
                      4,                 1.5166,                 1.4946,                  1.232,                0.70406,                0.53853,                0.66791,                0.36623,                 1.5643,                 2.4837,                 1.4618,              0.0011972,              0.0011972,              0.0011972
                      5,                  1.558,                 1.4882,                 1.2965,                0.41705,                0.69502,                0.42214,                0.23684,                 1.4804,                  2.564,                 1.5234,              0.0014783,              0.0014783,              0.0014783
                      6,                 1.5078,                 1.3959,                 1.2422,                0.50604,                0.76825,                0.54207,                0.28115,                 1.6851,                 3.2947,                 1.5575,              0.0015491,              0.0015491,              0.0015491
                      7,                 1.5376,                 1.3386,                 1.2775,                0.71455,                0.77249,                0.78154,                0.39328,                 1.6416,                 1.9183,                 1.6296,              0.0015255,              0.0015255,              0.0015255
                      8,                 1.5172,                 1.2496,                 1.2343,                0.75123,                0.79935,                0.81004,                0.46774,                 1.4367,                 1.6849,                 1.3597,               0.001502,               0.001502,               0.001502
                      9,                 1.4398,                 1.1488,                 1.2201,                0.86164,                0.87143,                0.86612,                0.50012,                 1.3804,                 1.2994,                 1.3482,              0.0014784,              0.0014784,              0.0014784
                     10,                 1.4167,                   1.13,                 1.1977,                0.75608,                0.88243,                0.81552,                0.46402,                 1.3074,                 1.3753,                  1.299,              0.0014548,              0.0014548,              0.0014548
                     11,                 1.4487,                 1.1251,                 1.2051,                0.85509,                0.89504,                0.91003,                0.53467,                 1.3727,                 1.1776,                 1.3141,              0.0014312,              0.0014312,              0.0014312
