                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1426,                 3.7654,                 1.4904,                0.02575,                0.46308,                0.05131,                0.01955,                 1.9004,                 4.2441,                 2.1254,             0.00014394,             0.00014394,             0.00014394
                      2,                 1.0365,                 2.9404,                 1.4106,                0.20364,                0.12793,                0.08472,                0.02564,                 2.2117,                  3.872,                 2.4693,             0.00028417,             0.00028417,             0.00028417
                      3,                 1.0211,                 2.4724,                 1.3801,                0.48844,                0.31701,                 0.2625,                0.11828,                 1.9049,                 3.0419,                 2.0189,             0.00041962,             0.00041962,             0.00041962
                      4,                0.97694,                 2.1934,                 1.3334,                0.40993,                 0.3009,                0.29735,                0.12424,                 2.1788,                  3.069,                 2.1833,             0.00041347,             0.00041347,             0.00041347
                      5,                0.95421,                 1.9694,                 1.3136,                 0.4232,                0.41724,                0.39035,                0.16269,                 2.0618,                 2.5549,                 2.0675,             0.00040629,             0.00040629,             0.00040629
                      6,                0.90254,                 1.7911,                  1.269,                0.45538,                0.41465,                0.41157,                0.17316,                  2.241,                 2.7675,                  2.271,             0.00039911,             0.00039911,             0.00039911
                      7,                 0.8749,                 1.6827,                  1.246,                0.52679,                0.51302,                0.49613,                0.21455,                 2.1922,                 2.2153,                 2.1211,             0.00039193,             0.00039193,             0.00039193
                      8,                0.85712,                 1.5687,                 1.2217,                0.43668,                 0.3562,                0.36055,                0.13659,                 2.3575,                 2.7767,                 2.5032,             0.00038476,             0.00038476,             0.00038476
                      9,                0.84227,                 1.5163,                 1.2197,                0.45413,                0.57011,                0.51208,                0.20672,                 2.2237,                 2.1655,                 2.2736,             0.00037758,             0.00037758,             0.00037758
                     10,                0.84305,                 1.4609,                 1.2157,                0.48532,                0.50409,                0.45396,                0.19737,                 2.2274,                 2.1956,                 2.2092,              0.0003704,              0.0003704,              0.0003704
                     11,                 0.8295,                 1.3877,                 1.2076,                0.44958,                0.48152,                 0.4496,                0.17135,                 2.5259,                  2.408,                  2.737,             0.00036323,             0.00036323,             0.00036323
                     12,                 0.8238,                 1.3468,                 1.1978,                 0.5952,                0.41369,                0.48216,                0.20477,                 2.2722,                 2.3951,                 2.2518,             0.00035605,             0.00035605,             0.00035605
                     13,                0.80543,                 1.3236,                 1.1836,                0.65341,                0.55953,                0.60138,                0.25394,                 2.2926,                 1.8005,                 2.2507,             0.00034887,             0.00034887,             0.00034887
                     14,                0.77952,                 1.2855,                 1.1803,                0.56392,                0.57212,                0.55943,                0.26474,                 1.9767,                 1.8524,                  1.932,             0.00034169,             0.00034169,             0.00034169
                     15,                0.78227,                 1.2516,                 1.1784,                0.63232,                0.53835,                0.57373,                0.29198,                 1.8838,                 1.8467,                 1.7985,             0.00033451,             0.00033451,             0.00033451
